,,All people: Total,All people: Males,All people: Females,Lives in a household: Total,Lives in a household: Males,Lives in a household: Females,Lives in a communal establishment: Total,Lives in a communal establishment: Males,Lives in a communal establishment: Females
Scotland,All people,"5,295,403","2,567,444","2,727,959","5,196,386","2,521,307","2,675,079","99,017","46,137","52,880"
Scotland,0 to 4,"292,821","149,224","143,597","292,586","149,105","143,481",235,119,116
Scotland,5 to 9,"269,617","137,976","131,641","269,387","137,851","131,536",230,125,105
Scotland,10 to 11,"111,836","57,187","54,649","111,498","56,978","54,520",338,209,129
Scotland,12 to 14,"179,779","92,428","87,351","178,229","91,528","86,701","1,550",900,650
Scotland,15,"62,278","32,291","29,987","61,473","31,806","29,667",805,485,320
Scotland,16 to 17,"126,266","64,599","61,667","123,925","63,286","60,639","2,341","1,313","1,028"
Scotland,18 to 19,"142,282","71,225","71,057","125,567","63,702","61,865","16,715","7,523","9,192"
Scotland,20 to 24,"363,940","181,059","182,881","346,076","171,799","174,277","17,864","9,260","8,604"
Scotland,25 to 29,"345,632","169,961","175,671","339,171","165,561","173,610","6,461","4,400","2,061"
Scotland,30 to 34,"321,695","158,646","163,049","318,372","156,122","162,250","3,323","2,524",799
Scotland,35 to 39,"340,056","166,230","173,826","337,713","164,431","173,282","2,343","1,799",544
Scotland,40 to 44,"394,698","191,440","203,258","392,434","189,762","202,672","2,264","1,678",586
Scotland,45 to 49,"410,929","200,319","210,610","408,707","198,789","209,918","2,222","1,530",692
Scotland,50 to 54,"375,827","184,198","191,629","373,788","182,925","190,863","2,039","1,273",766
Scotland,55 to 59,"330,891","162,197","168,694","328,917","161,001","167,916","1,974","1,196",778
Scotland,60 to 64,"336,522","164,725","171,797","334,391","163,479","170,912","2,131","1,246",885
Scotland,65 to 69,"261,198","124,671","136,527","259,002","123,432","135,570","2,196","1,239",957
Scotland,70 to 74,"220,594","100,691","119,903","217,451","99,214","118,237","3,143","1,477","1,666"
Scotland,75 to 79,"178,114","76,818","101,296","173,278","74,954","98,324","4,836","1,864","2,972"
Scotland,80 to 84,"124,525","48,592","75,933","116,871","46,259","70,612","7,654","2,333","5,321"
Scotland,85 to 89,"71,507","24,196","47,311","62,303","22,013","40,290","9,204","2,183","7,021"
Scotland,90 to 94,"26,906","7,291","19,615","20,633","6,180","14,453","6,273","1,111","5,162"
Scotland,95 and over,"7,490","1,480","6,010","4,614","1,130","3,484","2,876",350,"2,526"
Ayrshire & Arran,All people,"373,712","178,925","194,787","369,185","176,961","192,224","4,527","1,964","2,563"
Ayrshire & Arran,0 to 4,"19,694","10,032","9,662","19,677","10,024","9,653",17,8,9
Ayrshire & Arran,5 to 9,"19,036","9,668","9,368","19,019","9,657","9,362",17,11,6
Ayrshire & Arran,10 to 11,"7,994","4,084","3,910","7,986","4,078","3,908",8,6,2
Ayrshire & Arran,12 to 14,"13,149","6,719","6,430","13,091","6,683","6,408",58,36,22
Ayrshire & Arran,15,"4,589","2,318","2,271","4,549","2,289","2,260",40,29,11
Ayrshire & Arran,16 to 17,"9,478","4,850","4,628","9,396","4,805","4,591",82,45,37
Ayrshire & Arran,18 to 19,"8,860","4,523","4,337","8,742","4,459","4,283",118,64,54
Ayrshire & Arran,20 to 24,"21,610","10,826","10,784","21,315","10,630","10,685",295,196,99
Ayrshire & Arran,25 to 29,"19,822","9,508","10,314","19,588","9,324","10,264",234,184,50
Ayrshire & Arran,30 to 34,"19,113","9,140","9,973","18,960","9,010","9,950",153,130,23
Ayrshire & Arran,35 to 39,"22,552","10,706","11,846","22,426","10,613","11,813",126,93,33
Ayrshire & Arran,40 to 44,"27,790","13,105","14,685","27,643","12,998","14,645",147,107,40
Ayrshire & Arran,45 to 49,"29,387","14,025","15,362","29,272","13,945","15,327",115,80,35
Ayrshire & Arran,50 to 54,"27,431","13,322","14,109","27,302","13,243","14,059",129,79,50
Ayrshire & Arran,55 to 59,"25,072","11,997","13,075","24,967","11,936","13,031",105,61,44
Ayrshire & Arran,60 to 64,"26,670","12,983","13,687","26,539","12,904","13,635",131,79,52
Ayrshire & Arran,65 to 69,"21,650","10,314","11,336","21,496","10,226","11,270",154,88,66
Ayrshire & Arran,70 to 74,"17,885","8,278","9,607","17,657","8,182","9,475",228,96,132
Ayrshire & Arran,75 to 79,"14,247","6,270","7,977","13,884","6,128","7,756",363,142,221
Ayrshire & Arran,80 to 84,"9,455","3,725","5,730","8,888","3,562","5,326",567,163,404
Ayrshire & Arran,85 to 89,"5,486","1,879","3,607","4,766","1,718","3,048",720,161,559
Ayrshire & Arran,90 to 94,"2,153",543,"1,610","1,662",464,"1,198",491,79,412
Ayrshire & Arran,95 and over,589,110,479,360,83,277,229,27,202
Borders,All people,"113,870","55,160","58,710","112,589","54,709","57,880","1,281",451,830
Borders,0 to 4,"5,712","2,873","2,839","5,709","2,872","2,837",3,1,2
Borders,5 to 9,"5,905","3,013","2,892","5,905","3,013","2,892",-,-,-
Borders,10 to 11,"2,447","1,231","1,216","2,444","1,230","1,214",3,1,2
Borders,12 to 14,"3,888","2,003","1,885","3,886","2,002","1,884",2,1,1
Borders,15,"1,389",728,661,"1,387",726,661,2,2,-
Borders,16 to 17,"2,687","1,347","1,340","2,678","1,345","1,333",9,2,7
Borders,18 to 19,"2,333","1,140","1,193","2,242","1,127","1,115",91,13,78
Borders,20 to 24,"5,272","2,605","2,667","5,161","2,571","2,590",111,34,77
Borders,25 to 29,"5,029","2,416","2,613","4,982","2,390","2,592",47,26,21
Borders,30 to 34,"5,081","2,514","2,567","5,039","2,489","2,550",42,25,17
Borders,35 to 39,"6,734","3,228","3,506","6,689","3,201","3,488",45,27,18
Borders,40 to 44,"8,680","4,166","4,514","8,641","4,139","4,502",39,27,12
Borders,45 to 49,"9,248","4,599","4,649","9,221","4,580","4,641",27,19,8
Borders,50 to 54,"8,723","4,294","4,429","8,685","4,276","4,409",38,18,20
Borders,55 to 59,"7,986","3,950","4,036","7,934","3,921","4,013",52,29,23
Borders,60 to 64,"8,937","4,402","4,535","8,880","4,371","4,509",57,31,26
Borders,65 to 69,"7,051","3,429","3,622","7,000","3,408","3,592",51,21,30
Borders,70 to 74,"5,900","2,764","3,136","5,842","2,736","3,106",58,28,30
Borders,75 to 79,"4,568","2,045","2,523","4,485","2,017","2,468",83,28,55
Borders,80 to 84,"3,331","1,440","1,891","3,204","1,394","1,810",127,46,81
Borders,85 to 89,"2,004",716,"1,288","1,826",677,"1,149",178,39,139
Borders,90 to 94,770,227,543,626,202,424,144,25,119
Borders,95 and over,195,30,165,123,22,101,72,8,64
Dumfries & Galloway,All people,"151,324","73,405","77,919","149,341","72,534","76,807","1,983",871,"1,112"
Dumfries & Galloway,0 to 4,"7,660","3,872","3,788","7,646","3,862","3,784",14,10,4
Dumfries & Galloway,5 to 9,"7,378","3,831","3,547","7,369","3,828","3,541",9,3,6
Dumfries & Galloway,10 to 11,"3,125","1,614","1,511","3,118","1,612","1,506",7,2,5
Dumfries & Galloway,12 to 14,"5,145","2,639","2,506","5,134","2,635","2,499",11,4,7
Dumfries & Galloway,15,"1,856",984,872,"1,844",978,866,12,6,6
Dumfries & Galloway,16 to 17,"3,864","1,949","1,915","3,832","1,931","1,901",32,18,14
Dumfries & Galloway,18 to 19,"3,027","1,537","1,490","3,004","1,525","1,479",23,12,11
Dumfries & Galloway,20 to 24,"7,692","3,906","3,786","7,583","3,836","3,747",109,70,39
Dumfries & Galloway,25 to 29,"7,375","3,617","3,758","7,297","3,564","3,733",78,53,25
Dumfries & Galloway,30 to 34,"6,745","3,236","3,509","6,665","3,181","3,484",80,55,25
Dumfries & Galloway,35 to 39,"8,163","3,911","4,252","8,096","3,861","4,235",67,50,17
Dumfries & Galloway,40 to 44,"10,610","5,017","5,593","10,541","4,967","5,574",69,50,19
Dumfries & Galloway,45 to 49,"11,995","5,845","6,150","11,911","5,781","6,130",84,64,20
Dumfries & Galloway,50 to 54,"11,180","5,476","5,704","11,090","5,422","5,668",90,54,36
Dumfries & Galloway,55 to 59,"10,787","5,254","5,533","10,712","5,204","5,508",75,50,25
Dumfries & Galloway,60 to 64,"11,672","5,794","5,878","11,595","5,750","5,845",77,44,33
Dumfries & Galloway,65 to 69,"9,843","4,721","5,122","9,768","4,686","5,082",75,35,40
Dumfries & Galloway,70 to 74,"8,154","3,957","4,197","8,067","3,917","4,150",87,40,47
Dumfries & Galloway,75 to 79,"6,622","3,071","3,551","6,494","3,019","3,475",128,52,76
Dumfries & Galloway,80 to 84,"4,635","1,910","2,725","4,387","1,836","2,551",248,74,174
Dumfries & Galloway,85 to 89,"2,582",927,"1,655","2,289",866,"1,423",293,61,232
Dumfries & Galloway,90 to 94,961,282,679,738,234,504,223,48,175
Dumfries & Galloway,95 and over,253,55,198,161,39,122,92,16,76
Fife,All people,"365,198","176,943","188,255","357,440","173,529","183,911","7,758","3,414","4,344"
Fife,0 to 4,"20,775","10,657","10,118","20,763","10,652","10,111",12,5,7
Fife,5 to 9,"19,156","9,844","9,312","19,149","9,839","9,310",7,5,2
Fife,10 to 11,"7,688","4,026","3,662","7,675","4,016","3,659",13,10,3
Fife,12 to 14,"12,498","6,323","6,175","12,417","6,257","6,160",81,66,15
Fife,15,"4,280","2,176","2,104","4,228","2,141","2,087",52,35,17
Fife,16 to 17,"8,852","4,403","4,449","8,660","4,295","4,365",192,108,84
Fife,18 to 19,"9,532","4,798","4,734","7,874","4,033","3,841","1,658",765,893
Fife,20 to 24,"24,141","11,605","12,536","22,240","10,669","11,571","1,901",936,965
Fife,25 to 29,"20,802","10,270","10,532","20,338","9,971","10,367",464,299,165
Fife,30 to 34,"20,787","10,078","10,709","20,631","9,977","10,654",156,101,55
Fife,35 to 39,"23,035","11,216","11,819","22,947","11,149","11,798",88,67,21
Fife,40 to 44,"27,445","13,477","13,968","27,356","13,411","13,945",89,66,23
Fife,45 to 49,"28,007","13,554","14,453","27,912","13,499","14,413",95,55,40
Fife,50 to 54,"26,152","12,966","13,186","26,057","12,908","13,149",95,58,37
Fife,55 to 59,"22,981","11,203","11,778","22,890","11,152","11,738",91,51,40
Fife,60 to 64,"24,996","12,181","12,815","24,854","12,112","12,742",142,69,73
Fife,65 to 69,"19,529","9,425","10,104","19,407","9,366","10,041",122,59,63
Fife,70 to 74,"15,652","7,241","8,411","15,441","7,137","8,304",211,104,107
Fife,75 to 79,"12,425","5,519","6,906","12,078","5,386","6,692",347,133,214
Fife,80 to 84,"8,730","3,521","5,209","8,185","3,368","4,817",545,153,392
Fife,85 to 89,"5,188","1,781","3,407","4,500","1,621","2,879",688,160,528
Fife,90 to 94,"1,977",574,"1,403","1,493",494,999,484,80,404
Fife,95 and over,570,105,465,345,76,269,225,29,196
Forth Valley,All people,"297,636","144,475","153,161","290,421","140,849","149,572","7,215","3,626","3,589"
